A,E,Ecum,G_eff,K,L,Lambda,Omega,U,Y_damaged,Y_gross,Y_net,abatecost,dEcum_dt,dK_dt,delta_T,delta_c,f,mu,sigma,t,theta1,y,y_eff
1.2336780599567432,-0.00032463602991965687,0.008829505365252684,0.3934259209673007,62721711786.46736,8589134176.149103,0.04479942000645543,1.559203299900519e-37,-1.100745505113266,19239411472.455208,19239411472.455208,18377496997.22367,861914475.231538,-0.00032463602991965687,539413810.1213665,8.829505365252685e-18,0.08959884001291085,0.5,1.0513616082086243,3.2852340990752836e-13,21.0,0.04052921229850936,1.791976800258217,1.691627398612477
1.2460767305873808,-0.0003950612321577917,0.008504869335333027,0.3934259209673007,63261125596.58873,8613196877.269686,0.04532799861414766,1.4466560482217609e-37,-1.0946918455258872,19520948805.813057,19520948805.813057,18636103265.396313,884845540.4167416,-0.0003950612321577917,564164373.249826,8.504869335333027e-18,0.0906559972282953,0.5,1.0628467840397922,3.220182105415707e-13,22.0,0.04012593989812393,1.8131199445659059,1.7103885716476972
1.2586000099294778,-0.000465886587410095,0.008109808103175235,0.3934259209673007,63825289969.838554,8636914311.825037,0.0458678076078196,1.3153797494065343e-37,-1.0886205858259808,19807816199.00072,19807816199.00072,18899275096.453903,908541102.5468175,-0.000465886587410095,588590520.7988529,8.109808103175235e-18,0.09173561521563921,0.5,1.0745159199439078,3.15641822753463e-13,23.0,0.039726680125166704,1.834712304312784,1.7295195155753862
1.2712491503214047,-0.0005371163260556377,0.00764392151576514,0.3934259209673007,64413880490.637405,8660289216.195154,0.046418894321370814,1.168590722783545e-37,-1.0825348278427207,20100052495.953503,20100052495.953503,19167030283.289833,933022212.6636713,-0.0005371163260556377,612712032.1260962,7.643921515765141e-18,0.09283778864274161,0.5,1.0863699182589852,3.0939169590307043e-13,24.0,0.039331393053327675,1.856755772854832,1.7490200853539024
1.2840254166877414,-0.0006087540107448906,0.007106805189709502,0.3934259209673007,65026592522.763504,8683324383.32133,0.046981308423768256,1.0101336000896386e-37,-1.0764375566172042,20397697049.822327,20397697049.822327,19439386553.590034,958310496.2322906,-0.0006087540107448906,636547684.5798316,7.106805189709503e-18,0.0939626168475365,0.5,1.0984097061239428,3.032653298563167e-13,25.0,0.03894003915357025,1.87925233695073,1.768890169890268
1.2969300866657718,-0.0006808025671850785,0.006498051178964612,0.3934259209673007,65663140207.34334,8706022659.46368,0.04755510199225897,8.444933824888677e-38,-1.0703316411300066,20700789775.885647,20700789775.885647,19716361606.773094,984428169.1125537,-0.0006808025671850785,660115310.987452,6.498051178964612e-18,0.09511020398451794,0.5,1.1106362370121015,2.972602739850972e-13,26.0,0.038552579290178315,1.9022040796903588,1.789129693415651
1.3099644507332473,-0.0007532643146729229,0.005817248611779533,0.3934259209673007,66323255518.33079,8728386941.019266,0.04814032957921488,6.768076282250183e-38,-1.0642198353888064,21009371201.779125,21009371201.779125,19997973147.873413,1011398053.9057128,-0.0007532643146729229,683431853.658143,5.817248611779534e-18,0.09628065915842975,0.5,1.1230504921449767,2.913741261869948e-13,27.0,0.03816897471684266,1.9256131831685948,1.8097386165688232
1.3231298123374369,-0.0008261409962711856,0.00506398429710661,0.3934259209673007,67006687371.98893,8750420171.402367,0.04873704827288902,5.128787392268465e-38,-1.0581047798383136,21323482515.08494,21323482515.08494,20284238918.401142,1039243596.6837999,-0.0008261409962711856,706513415.0807819,5.06398429710661e-18,0.09747409654577803,0.5,1.1356534817908872,2.856045319244074e-13,28.0,0.03778918707278628,1.9494819309155604,1.8307169371978647
1.336427488025472,-0.0008994338085358802,0.004237843300835424,0.3934259209673007,67713200787.06971,8772125337.988338,0.04934531775237222,3.591863168487138e-38,-1.0519890030563295,21643165608.333504,21643165608.333504,20575176724.223072,1067988884.1104311,-0.0008994338085358802,729375305.4911289,4.237843300835425e-18,0.09869063550474444,0.5,1.1484462464531942,2.79949183282701e-13,29.0,0.03741317837892826,1.9738127100948888,1.8520646908907596
1.3498588075760032,-0.0009731434307112784,0.0033384094922995437,0.3934259209673007,68442576092.56084,8793505469.122305,0.04996520033704637,2.2289955876551395e-38,-1.0458749237014813,21968463121.480442,21968463121.480442,20870804460.518658,1097658660.9617853,-0.0009731434307112784,752032087.4756894,3.3384094922995438e-18,0.09993040067409273,0.5,1.1614298579532172,2.744058180470132e-13,30.0,0.0370409110340859,1.9986080134818545,1.8737819512457956
